term,estimate,std.error,statistic,p.value,conf.low,conf.high
ageband75-79,0.633869041378814,0.0010406149336667468,609.129295449654,0,0.6318294735870525,0.6359086091705753
ageband80-84,1.2214730657594592,0.0012024418270439336,1015.8271596076393,0,1.2191163230849487,1.2238298084339698
ageband85-89,1.0735384313562524,0.001488866521013387,721.0441071813177,0,1.0706203065972786,1.0764565561152262
ageband90-94,0.8146820096782794,0.0022343054358442594,364.62427947790496,0,0.8103028514935626,0.8190611678629962
ageband95+,0.44641308673585106,0.00454977450514765,98.11762895738588,0,0.4374956925679831,0.455330480903719
asplenia,0.06525612049590619,0.004393300727448091,14.853551929237293,6.597821682262745e-50,0.05664540929685431,0.07386683169495807
chronic_heart_disease,0.05686732004848938,9.032827075327282e-4,62.95628110032089,0,0.055096918473867405,0.05863772162311135
chronic_liver_disease,0.013256380089677226,0.0026444202698953896,5.01296266731522,5.359829901486025e-7,0.008073411600694573,0.018439348578659878
chronic_neuro_dis_inc_sig_learn_dis,-0.07165805638822824,0.0012548289312020388,-57.10583698415752,0,-0.07411747590014313,-0.06919863687631335
chronic_respiratory_disease,0.010003413188532694,0.0013252228005430468,7.548476516125075,4.403790941274845e-14,0.007406024227977015,0.012600802149088373
ckd,0.058384698726397705,0.0010784324402409392,54.1384852196709,0,0.05627100998376582,0.06049838746902959
diabetes,0.01411812193720364,0.0010678982985307989,13.220474231139029,6.684118788426385e-40,0.012025079732931671,0.01621116414147561
ethnicityAsian or Asian British - Any other Asian background,-0.395561857265338,0.005979183139172033,-66.15650466931731,0,-0.4072808408750843,-0.38384287365559167
ethnicityAsian or Asian British - Bangladeshi,-0.5709369177708048,0.011517383517766037,-49.57175532881328,0,-0.5935105746617615,-0.5483632608798481
ethnicityAsian or Asian British - Indian,-0.15214985955612464,0.004083560992691667,-37.25911277642887,7.543746016984467e-304,-0.16015349203047294,-0.14414622708177635
ethnicityAsian or Asian British - Pakistani,-0.6447932914179381,0.0064102817596160475,-100.58735568848986,0,-0.6573572127975396,-0.6322293700383366
ethnicityBlack or Black British - African,-0.929992685934354,0.008044333285832494,-115.60842308364288,0,-0.9457592894542225,-0.9142260824144856
ethnicityBlack or Black British - Any other Black background,-0.7985652885312527,0.0155559921588643,-51.334899142142135,0,-0.8290544729064142,-0.7680761041560913
ethnicityBlack or Black British - Caribbean,-0.8492597495185104,0.0061140213017463006,-138.9036294780234,0,-0.8612430110706438,-0.8372764879663769
ethnicityEthnicity not recorded,-0.2112956065930694,0.0012205379172448758,-173.11679023461036,0,-0.2136878169526349,-0.2089033962335039
ethnicityEthnicity not stated,-0.2383044502254144,0.005621247264297564,-42.393518559300226,0,-0.24932189241163194,-0.22728700803919688
ethnicityMixed - Any other mixed background,-0.44555582237232605,0.013114500327658636,-33.974288858923856,5.3420897657137683e-253,-0.4712597706897757,-0.4198518740548764
ethnicityMixed - White and Asian,-0.3439655505051961,0.017017975242648593,-20.211896280304085,7.693471231867507e-91,-0.37732016907058163,-0.3106109319398106
ethnicityMixed - White and Black African,-0.7932999374916357,0.019938936800655414,-39.786471336102494,0,-0.8323795355109407,-0.7542203394723308
ethnicityMixed - White and Black Caribbean,-0.7808666128259242,0.013380069740938074,-58.360429201408465,0,-0.807091067628797,-0.7546421580230513
ethnicityOther ethnic groups - Any other ethnic group,-0.5402754751327268,0.008303488122906781,-65.0660863405431,0,-0.5565500127996802,-0.5240009374657734
ethnicityOther ethnic groups - Chinese,-0.6457327539770145,0.01053675424572647,-61.28383930363687,0,-0.6663844128125879,-0.6250810951414411
ethnicityPatients with any other ethnicity code,-0.0614424003486725,0.001380717094915234,-44.500354616413745,0,-0.06414855612754514,-0.058736244569799874
ethnicityWhite - Any other White background,-0.3861280365188886,0.003089427028692001,-124.98370504720002,0,-0.3921832022279895,-0.3800728708097877
ethnicityWhite - Irish,-0.054007352907409455,0.004731433454729872,-11.414585753799395,3.535845442709752e-30,-0.06328079207392792,-0.04473391374089099
imd2,0.10533664538884917,0.001634268412600124,64.45492342427299,0,0.10213353815908148,0.10853975261861686
imd3,0.17384071677184698,0.001651237538814172,105.2790484018973,0,0.17060435066585064,0.17707708287784332
imd4,0.22193987336819782,0.001675342550279554,132.47432492606606,0,0.2186562623078824,0.22522348442851323
imd5 least deprived,0.27129303837637836,0.0017713131894584412,153.15927188422455,0,0.267821328319699,0.2747647484330577
immunosuppression,0.06836285589340388,0.0020207038782525054,33.831209327179465,6.858228585913766e-251,0.06440234906860856,0.0723233627181992
morbid_obesity,-0.11936647958155125,0.002731130319501461,-43.70588936354393,0,-0.12471939664485948,-0.11401356251824302
sev_mental_ill,-0.2939848358669541,0.004207726094393906,-69.86786432192912,0,-0.3022318274687756,-0.28573784426513266
sexMale,0.019789128989438232,8.215234278536804e-4,24.088331894733045,3.312788251263642e-128,0.01817897265838913,0.021399285320487335
