term,estimate,std.error,statistic,p.value,conf.low,conf.high
ageband75-79,0.6785773061419711,0.0015726285622969392,431.4924212942306,0,0.6754950107988101,0.681659601485132
ageband80-84,1.317914201684863,0.0018220299773304735,723.3219091245634,0,1.314343088550543,1.3214853148191832
ageband85-89,1.1574065479101412,0.00224592931445454,515.3352514084959,0,1.1530046073419875,1.1618084884782949
ageband90-94,0.8982200670176864,0.003356204559563398,267.62971418361167,0,0.8916420269561931,0.9047981070791797
ageband95+,0.5558421015571614,0.006817929398406867,81.52652646814501,0,0.5424792054871471,0.5692049976271757
sexMale,0.028307963408230517,0.001237967598981683,22.866481668434492,1.0019286566166981e-115,0.025881591500198895,0.03073433531626214
ethnicityWhite - Irish,-0.06213561257879531,0.00847568892725131,-7.331039767046531,2.2837388034808685e-13,-0.07874765762037281,-0.04552356753721782
ethnicityWhite - Any other White background,-0.42737496082711107,0.005309670769617915,-80.48991724167958,0,-0.43778172430532725,-0.4169681973488949
ethnicityMixed - White and Black Caribbean,-0.8184889039113168,0.023706191669203742,-34.52637670919535,3.225257808162975e-261,-0.8649521857935596,-0.772025622029074
ethnicityMixed - White and Black African,-0.7857640788310282,0.03433688014530456,-22.883968360138812,6.710935370874465e-116,-0.8530631272572935,-0.7184650304047628
ethnicityMixed - White and Asian,-0.3174308417640684,0.0294113314885592,-10.792807591439603,3.72240672118826e-27,-0.3750759922190132,-0.25978569130912355
ethnicityMixed - Any other mixed background,-0.4835448314834505,0.02473902066149393,-19.545835629463046,4.476016401753768e-85,-0.5320324209927708,-0.43505724197413015
ethnicityAsian or Asian British - Indian,-0.14031629975118734,0.007005565333179121,-20.02926146254522,3.0616467488557797e-89,-0.15404695549556074,-0.12658564400681394
ethnicityAsian or Asian British - Pakistani,-0.725108593681653,0.010896296545340751,-66.54633440494138,0,-0.7464649424753891,-0.703752244887917
ethnicityAsian or Asian British - Bangladeshi,-0.6767862025973885,0.024874057231626914,-27.208516740761823,5.1500729696415185e-163,-0.7255384589207654,-0.6280339462740117
ethnicityAsian or Asian British - Any other Asian background,-0.4444435179987864,0.01112719445592081,-39.94210038832357,0,-0.46625241838136494,-0.42263461761620785
ethnicityBlack or Black British - Caribbean,-0.8527061625766004,0.012334598933967843,-69.13124351602232,0,-0.8768815322509235,-0.8285307929022773
ethnicityBlack or Black British - African,-1.0127786247532882,0.017674145758197708,-57.302833110535836,0,-1.047419313896867,-0.9781379356097093
ethnicityBlack or Black British - Any other Black background,-0.8037117593519593,0.02914796710230192,-27.573509896286634,2.3129613556882925e-167,-0.8608407250950293,-0.7465827936088892
ethnicityOther ethnic groups - Chinese,-0.6911958447037463,0.019289954080764803,-35.831907209824834,3.5191395793437625e-281,-0.7290034599654768,-0.6533882294420158
ethnicityOther ethnic groups - Any other ethnic group,-0.5507569351814616,0.013243291877835696,-41.58761584823349,0,-0.5767133102987714,-0.5248005600641519
ethnicityPatients with any other ethnicity code,-0.04949601330248945,0.001930207993884542,-25.642839248053658,5.081799209067241e-145,-0.05327915145317446,-0.04571287515180444
ethnicityEthnicity not stated,-0.22123421111436786,0.00856681626211663,-25.824554227069047,4.7001629212261254e-147,-0.2380248624502885,-0.20444355977844722
ethnicityEthnicity not recorded,-0.1780073714457278,0.0017348954710896527,-102.60409022448194,0,-0.18140770408600518,-0.17460703880545045
imd2,0.11115349132398776,0.0024569978300600422,45.23955616243726,0,0.10633786406697701,0.11596911858099851
imd3,0.18608680439032976,0.002442996919414233,76.1715264196684,0,0.18129861841393557,0.19087499036672395
imd4,0.23370242527116078,0.0024905090408663907,93.83721216681916,0,0.22882111724789125,0.2385837332944303
imd5 least deprived,0.28718803256740394,0.0026284218502976853,109.26253429786321,0,0.28203642040464233,0.29233964473016555
immunosuppression,0.08286854063483673,0.0030388444989762225,27.26975357335819,9.692142596822082e-164,0.07691251486222567,0.08882456640744779
ckd,0.0656983601732544,0.001634471382411737,40.1954790277903,0,0.062494855129966,0.06890186521654279
chronic_respiratory_disease,0.02267896800122929,0.0019952241289243684,11.366626772630097,6.131149021199632e-30,0.01876840056745223,0.026589535435006355
diabetes,0.018897603184581672,0.0016073677343617658,11.756863585472745,6.510820591980914e-32,0.015747220315320866,0.022047986053842478
chronic_liver_disease,0.018765726076487792,0.0039565420280653,4.742961389863967,2.106164235918872e-6,0.011011046198160741,0.026520405954814842
chronic_neuro_dis_inc_sig_learn_dis,-0.07244833112814544,0.0018753254665358312,-38.632404039163724,0,-0.07612390150184645,-0.06877276075444444
chronic_heart_disease,0.06287880480818779,0.0013578212319563339,46.30860331856256,0,0.06021752409610957,0.06554008552026601
asplenia,0.07848992515303424,0.006534949935024535,12.010792115232869,3.118436497173708e-33,0.06568165863961378,0.0912981916664547
sev_mental_ill,-0.31941326009814625,0.006423445018106475,-49.72616083702449,0,-0.33200298099030817,-0.3068235392059843
morbid_obesity,-0.13234631949919742,0.0041609691986219995,-31.806608792736785,5.2449080457801396e-222,-0.14050166926927704,-0.12419096972911782
